state,year,population
OR,2017,4147294
PA,2017,12794679
RI,2017,1056554
SC,2017,5027102
SD,2017,873732
TN,2017,6714748
TX,2017,28291024
UT,2017,3103540
VT,2017,625132
VA,2017,8471011
WA,2017,7427951
WV,2017,1818683
WI,2017,5793147
WY,2017,579994
AL,2018,4891628
AK,2018,736624
AZ,2018,7164228
AR,2018,3012161
CA,2018,39437463
CO,2018,5697155
CT,2018,3574561
DE,2018,966985
DC,2018,704147
FL,2018,21254926
GA,2018,10519389
HI,2018,1423102
ID,2018,1752074
IL,2018,12724685
IN,2018,6698481
IA,2018,3149900
KS,2018,2912748
KY,2018,4464273
LA,2018,4664450
ME,2018,1340123
MD,2018,6042153
MA,2018,6885720
MI,2018,9987286
MN,2018,5608762
MS,2018,2982879
MO,2018,6125986
MT,2018,1061818
NE,2018,1925512
NV,2018,3030725
NH,2018,1355064
NJ,2018,8891730
NM,2018,2093754
NY,2018,19544098
NC,2018,10391358
ND,2018,760062
OH,2018,11680892
OK,2018,3943488
OR,2018,4183538
PA,2018,12809107
RI,2018,1059338
SC,2018,5091702
SD,2018,879386
TN,2018,6778180
TX,2018,28624564
UT,2018,3155153
VT,2018,624802
VA,2018,8510920
WA,2018,7526793
WV,2018,1805953
WI,2018,5809319
WY,2018,579054
AL,2019,4907965
AK,2019,733603
AZ,2019,7291843
AR,2019,3020985
CA,2019,39437610
CO,2019,5758486
CT,2019,3566022
DE,2019,976668
DC,2019,708253
FL,2019,21492056
GA,2019,10628020
HI,2019,1415615
ID,2019,1789060
IL,2019,12667017
IN,2019,6731010
IA,2019,3159596
KS,2019,2912635
KY,2019,4472345
LA,2019,4658285
ME,2019,1345770
MD,2019,6054954
MA,2019,6894883
MI,2019,9984795
MN,2019,5640053
MS,2019,2978227
MO,2019,6140475
MT,2019,1070123
NE,2019,1932571
NV,2019,3090771
NH,2019,1360783
NJ,2019,8891258
NM,2019,2099634
NY,2019,19463131
NC,2019,10501384
ND,2019,763724
OH,2019,11696507
OK,2019,3960676
OR,2019,4216116
PA,2019,12798883
RI,2019,1058158
SC,2019,5157702
SD,2019,887127
TN,2019,6830325
TX,2019,28986794
UT,2019,3203383
VT,2019,624046
VA,2019,8556642
WA,2019,7614024
WV,2019,1795263
WI,2019,5824581
WY,2019,580116
AL,2020,4921532
AK,2020,731158
AZ,2020,7421401
AR,2020,3030522
CA,2020,39368078
CO,2020,5807719
CT,2020,3557006
DE,2020,986809
DC,2020,712816
FL,2020,21733312
GA,2020,10710017
HI,2020,1407006
ID,2020,1826913
IL,2020,12587530
IN,2020,6754953
IA,2020,3163561
KS,2020,2913805
KY,2020,4477251
LA,2020,4645318
ME,2020,1350141
MD,2020,6055802
MA,2020,6893574
MI,2020,9966555
MN,2020,5657342
MS,2020,2966786
MO,2020,6151548
MT,2020,1080577
NE,2020,1937552
NV,2020,3138259
NH,2020,1366275
NJ,2020,8882371
NM,2020,2106319
NY,2020,19336776
NC,2020,10600823
ND,2020,765309
OH,2020,11693217
OK,2020,3980783
OR,2020,4241507
PA,2020,12783254
RI,2020,1057125
SC,2020,5218040
SD,2020,892717
TN,2020,6886834
TX,2020,29360759
UT,2020,3249879
VT,2020,623347
VA,2020,8590563
WA,2020,7693612
WV,2020,1784787
WI,2020,5832655
WY,2020,582328
